Name,Domain,Status,Notes,Sources,clean_domain,russian_prop
spiegel[.]work,spiegel[.]work,,Spoofs Der Spiegel.,[7][1][2][4][6],spiegel.work,1
spiegeli[.]life,spiegeli[.]life,,Spoofs Der Spiegel.,[7][1][2][4][6],spiegeli.life,1
spiegeli[.]live,spiegeli[.]live,,Spoofs Der Spiegel.,[7][1][2][4][6],spiegeli.live,1
spiegeli[.]today,spiegeli[.]today,,Spoofs Der Spiegel.,[7][1][2][4][6],spiegeli.today,1
spiegell[.]beauty,spiegell[.]beauty,,Spoofs Der Spiegel.,[2],spiegell.beauty,1
spiegell[.]lol,spiegell[.]lol,,Spoofs Der Spiegel.,[2],spiegell.lol,1
spiegelr[.]live,spiegelr[.]live,Defunct,Spoofs Der Spiegel.,[7][1][2][4][6],spiegelr.live,1
spiegelr[.]today,spiegelr[.]today,Defunct,Spoofs Der Spiegel.,[7][1][2][4][6],spiegelr.today,1
sueddeutsche[.]cc,sueddeutsche[.]cc,,,[1][2][4][6],sueddeutsche.cc,1
sueddeutsche[.]co,sueddeutsche[.]co,Defunct,Seized by the United States federal government in 2024.,[1][2][4][6],sueddeutsche.co,1
sueddeutsche[.]ltd,sueddeutsche[.]ltd,,,[2][4][6],sueddeutsche.ltd,1
sueddeutsche[.]me,sueddeutsche[.]me,,,[1][2][4][6],sueddeutsche.me,1
sueddeutsche[.]online,sueddeutsche[.]online,,,[1][2][4][6],sueddeutsche.online,1
t-online[.]life,t-online[.]life,,Spoofs T-Online.,[7][1][2][4],t-online.life,1
t-onlinl[.]life,t-onlinl[.]life,Defunct,Spoofs T-Online.,[7][1][2][4][6],t-onlinl.life,1
t-onlinl[.]live,t-onlinl[.]live,Defunct,Spoofs T-Online.,[7][1][2][4][6],t-onlinl.live,1
t-onlinl[.]today,t-onlinl[.]today,Defunct,Spoofs T-Online.,[7][1][2][4][6],t-onlinl.today,1
t-onlinr[.]life,t-onlinr[.]life,,Spoofs T-Online.,[7][1][2][4][6],t-onlinr.life,1
t-onlinr[.]live,t-onlinr[.]live,,Spoofs T-Online.,[7][1][2][4][6],t-onlinr.live,1
t-onlinr[.]today,t-onlinr[.]today,,Spoofs T-Online.,[7][1][2][4][6],t-onlinr.today,1
tagesspiegel[.]co,tagesspiegel[.]co,,Spoofs Der Tagesspiegel. Seized by the United States federal government in 2024.,[7][1][16][2][4][6],tagesspiegel.co,1
tagesspiegel[.]ltd,tagesspiegel[.]ltd,,Spoofs Der Tagesspiegel.,[7][1][16][2][4][6],tagesspiegel.ltd,1
tonline[.]cfd,tonline[.]cfd,,Spoofs T-Online.,[7][1][2],tonline.cfd,1
tonline[.]life,tonline[.]life,,Spoofs T-Online.,[7][1][2][6],tonline.life,1
tonline[.]today,tonline[.]today,,Spoofs T-Online.,[7][1][2][6],tonline.today,1
ua-pravda[.]click,ua-pravda[.]click,,Spoofs Ukrainska Pravda.,[2],ua-pravda.click,1
ukrlm.info,ukrlm.info,,,[5][6],ukrlm.info,1
unian[.]pm,unian[.]pm,,,[2][5],unian.pm,1
walla[.]com[.]co,walla[.]com[.]co,,Spoofs Walla.,[2],walla.com.co,1
washingtonpost[.]ltd,washingtonpost[.]ltd,,Spoofs the Washington Post.,[2][4][6],washingtonpost.ltd,1
warfareinsider.us,warfareinsider.us,Defunct,Seized by the United States federal government in 2024.,[5][4][6],warfareinsider.us,1
welt[.]beauty,welt[.]beauty,,Spoofs Welt.,[2],welt.beauty,1
welt[.]lol,welt[.]lol,,Spoofs Welt.,[2],welt.lol,1
welt[.]ltd,welt[.]ltd,,Spoofs Welt.,[7][1][2][4][6],welt.ltd,1
welt[.]media,welt[.]media,,Spoofs Welt.,[7][1][2][4][6],welt.media,1
welt[.]tours,welt[.]tours,,Spoofs Welt.,[2],welt.tours,1
welt[.]ws,welt[.]ws,,Spoofs Welt.,[7][1][2][4][6],welt.ws,1
weltt[.]beauty,weltt[.]beauty,,Spoofs Welt.,[2],weltt.beauty,1
